,id,variable,n_datapoints,n_days,first_date,last_date,n_unique_values,val_min,val_max
225,15,appCat.unknown,1.0,1.0,2014-04-16,2014-04-16,1.0,23.129,23.129
226,15,appCat.utilities,4.0,2.0,2014-03-18,2014-03-28,4.0,7.041,21.12
227,15,appCat.weather,,,,,,,
228,16,mood,231.0,53.0,2014-03-13,2014-03-24,6.0,1.0,8.0
229,16,circumplex.arousal,230.0,53.0,2014-03-13,2014-03-24,5.0,-2.0,2.0
230,16,circumplex.valence,230.0,53.0,2014-03-13,2014-03-24,4.0,-1.0,2.0
231,16,activity,443.0,50.0,2014-03-17,2014-03-21,130.0,0.0,1.0
232,16,screen,701.0,52.0,2014-03-13,2014-03-18,693.0,0.306999921798706,8421.48699998856
233,16,call,173.0,53.0,2014-02-17,2014-03-10,1.0,1.0,1.0
234,16,sms,105.0,40.0,2014-02-21,2014-03-27,1.0,1.0,1.0
235,16,appCat.builtin,1153.0,52.0,2014-03-13,2014-03-16,937.0,0.328,345.201
236,16,appCat.communication,468.0,47.0,2014-03-13,2014-03-20,454.0,0.272,360.981
237,16,appCat.entertainment,74.0,26.0,2014-03-15,2014-04-03,74.0,1.014,2033.068
238,16,appCat.finance,28.0,15.0,2014-03-15,2014-04-07,28.0,1.142,97.953
239,16,appCat.game,1.0,1.0,2014-04-10,2014-04-10,1.0,162.983,162.983
240,16,appCat.office,,,,,,,
241,16,appCat.other,42.0,29.0,2014-03-14,2014-04-10,40.0,5.014,29.064
242,16,appCat.social,93.0,34.0,2014-03-15,2014-04-04,93.0,0.725,221.426
243,16,appCat.travel,5.0,3.0,2014-04-01,2014-04-04,5.0,1.673,124.535
244,16,appCat.unknown,1.0,1.0,2014-05-04,2014-05-04,1.0,11.114,11.114
245,16,appCat.utilities,2.0,2.0,2014-04-06,2014-05-04,2.0,13.048,19.138
246,16,appCat.weather,2.0,2.0,2014-04-06,2014-04-23,2.0,4.01,5.22
247,17,mood,237.0,56.0,2014-03-04,2014-03-23,6.0,4.0,9.0
248,17,circumplex.arousal,236.0,56.0,2014-03-04,2014-03-23,5.0,-2.0,2.0
249,17,circumplex.valence,236.0,56.0,2014-03-04,2014-03-23,4.0,-1.0,2.0
250,17,activity,1077.0,47.0,2014-03-20,2014-03-22,282.0,0.0,1.0
251,17,screen,4573.0,47.0,2014-03-20,2014-03-21,4244.0,0.259999990463257,6768.82899999619
252,17,call,82.0,33.0,2014-02-18,2014-03-18,1.0,1.0,1.0
253,17,sms,42.0,27.0,2014-02-17,2014-04-06,1.0,1.0,1.0
254,17,appCat.builtin,3608.0,47.0,2014-03-20,2014-03-21,2048.0,0.016,19110.859
255,17,appCat.communication,3200.0,47.0,2014-03-20,2014-03-21,2859.0,0.201,5641.975
256,17,appCat.entertainment,428.0,41.0,2014-03-20,2014-03-24,414.0,0.605,1104.174
257,17,appCat.finance,3.0,2.0,2014-03-29,2014-04-30,3.0,11.147,49.405
258,17,appCat.game,9.0,2.0,2014-04-24,2014-05-01,9.0,3.731,4115.297
259,17,appCat.office,57.0,17.0,2014-03-21,2014-04-01,57.0,1.004,567.44
260,17,appCat.other,283.0,47.0,2014-03-20,2014-03-28,242.0,1.773,229.283
261,17,appCat.social,1315.0,47.0,2014-03-20,2014-03-22,1232.0,0.288,1102.806
262,17,appCat.travel,388.0,33.0,2014-03-22,2014-03-27,378.0,0.244,10452.615
263,17,appCat.unknown,8.0,1.0,2014-04-08,2014-04-08,8.0,1.67,121.221
264,17,appCat.utilities,44.0,22.0,2014-03-22,2014-04-02,44.0,1.001,56.339
265,17,appCat.weather,,,,,,,
266,19,mood,221.0,46.0,2014-03-21,2014-03-30,7.0,3.0,9.0
267,19,circumplex.arousal,221.0,46.0,2014-03-21,2014-03-30,5.0,-2.0,2.0
268,19,circumplex.valence,221.0,46.0,2014-03-21,2014-03-30,4.0,-1.0,2.0
269,19,activity,1071.0,46.0,2014-03-21,2014-03-23,222.0,0.0,0.816666666666667
270,19,screen,3034.0,46.0,2014-03-21,2014-03-22,2908.0,0.209000110626221,4433.90100002289
271,19,call,436.0,70.0,2014-02-17,2014-03-08,1.0,1.0,1.0
272,19,sms,33.0,21.0,2014-02-20,2014-03-29,1.0,1.0,1.0
